nome_territorio,dominio_orcrim,geometria
NOVA MALVINA,ADA,"POLYGON((-41.7885724999999 -22.3666286, -41.7861263 -22.3610325999999, -41.7841521999999 -22.3603578999999, -41.7817489 -22.3633742, -41.7790024 -22.3666681999999, -41.7784874 -22.3665889, -41.7804186 -22.3601992, -41.7817489 -22.3583338, -41.7855683999999 -22.3551586, -41.7872421 -22.3553967999999, -41.7889158 -22.3543647999999, -41.7896883 -22.3546426999999, -41.791464 -22.3571363, -41.7914478 -22.3584925, -41.7898546 -22.3601328, -41.7885242 -22.3608869, -41.7879287 -22.361747, -41.7885456999999 -22.3640816999999, -41.7891304 -22.3659936, -41.7885724999999 -22.3666286))"
BATAN,ADA,"POLYGON((-43.4258399999999 -22.865381, -43.425036 -22.86549, -43.424885 -22.8649849999999, -43.423845 -22.865015, -43.4225039999999 -22.8648669999999, -43.4222301 -22.8640563, -43.4229728999999 -22.8638979999999, -43.4227542 -22.8635619, -43.4225269 -22.8633839, -43.4222629999999 -22.8632653, -43.4220023 -22.8632355999999, -43.4217647 -22.8632701999999, -43.4217317 -22.8630898, -43.4221765 -22.8631083999999, -43.4221843999999 -22.8628803999999, -43.4222526999999 -22.8625982999999, -43.422201 -22.8623683, -43.4216709 -22.8622829999999, -43.4216741 -22.8620129, -43.4210871999999 -22.8618713999999, -43.4213339999999 -22.860784, -43.4221499999999 -22.8600519999999, -43.4227989 -22.8599632999999, -43.4245716999999 -22.8600572999999, -43.4302605 -22.8588660999999, -43.4310867999999 -22.8587279, -43.42893 -22.8614459999999, -43.433683 -22.8617619999999, -43.433747 -22.861466, -43.4341019999999 -22.8610609999999, -43.4351639999999 -22.861891, -43.435303 -22.862089, -43.435078 -22.8637889999999, -43.4258399999999 -22.865381))"
SAPO I,ADA,"POLYGON((-41.3027435 -21.7219162, -41.3025395999999 -21.7209594, -41.2997394 -21.7212683, -41.2997501 -21.7213978999999, -41.2994389999999 -21.7215474, -41.2977653 -21.7217965999999, -41.2978510999999 -21.7223248, -41.2977974999999 -21.7224543999999, -41.2968855 -21.722594, -41.2967353 -21.7223049, -41.296392 -21.7222649999999, -41.2962846999999 -21.7220556999999, -41.2961989 -21.7213879, -41.2951581999999 -21.7214577, -41.2950938 -21.7209991999999, -41.2953084 -21.7208497, -41.2951796 -21.7201519999999, -41.2947076 -21.720162, -41.294611 -21.7194443999999, -41.2975721999999 -21.7192350999999, -41.2994603999999 -21.7190555999999, -41.3036769 -21.7184675999999, -41.3036983 -21.7189061, -41.3033765 -21.7192749, -41.3034516 -21.7199227999999, -41.3047496999999 -21.7197732999999, -41.3053075999999 -21.7216470999999, -41.3027435 -21.7219162))"
FAVELA VILA BRASIL,ADA,"POLYGON((-43.4097599 -22.8823255999999, -43.4093253 -22.8825974, -43.4087137999999 -22.8807194, -43.4081075999999 -22.8786633, -43.4075925999999 -22.8771411, -43.4074853 -22.8766419, -43.4077857 -22.8766517999999, -43.4081558999999 -22.8766864, -43.4081183 -22.8768742, -43.4085368 -22.8769877999999, -43.4094057999999 -22.8770866999999, -43.4093951 -22.8772498, -43.4097599 -22.8823255999999))"
TRIBOBO,ADA,"POLYGON((-43.0316966 -22.8564984999999, -43.0286067 -22.8595831, -43.0252164 -22.8557867, -43.0277484 -22.8529789, -43.0257743 -22.8515552, -43.0262463999999 -22.8487077999999, -43.0317396 -22.849301, -43.0331558 -22.8527020999999, -43.0346149 -22.8562216999999, -43.0316966 -22.8564984999999))"
PARQUE PRAZERES,ADA,"POLYGON((-41.3104175 -21.738526, -41.3092695 -21.7390642, -41.3090119999999 -21.7404195, -41.3076172999999 -21.7410474, -41.3071022999999 -21.7405391, -41.3065444 -21.7406088999999, -41.3062547 -21.7416354, -41.3060829999999 -21.7418347, -41.3064049 -21.7427316, -41.3056645999999 -21.7430803999999, -41.3052891 -21.7429706999999, -41.3048813999999 -21.7430105999999, -41.3046024999999 -21.7432797, -41.3040981999999 -21.7435088999999, -41.3031647999999 -21.7438776, -41.3030682 -21.7433793, -41.3031862999999 -21.7431601, -41.3029395 -21.7414261, -41.3027786 -21.7402600999999, -41.3026604999999 -21.7393332999999, -41.3021669999999 -21.7393532, -41.301931 -21.7379879, -41.3032721 -21.7377686, -41.3043342 -21.7402701, -41.3101384999999 -21.7379081999999, -41.3104175 -21.738526))"
BOSQUE AZUL,ADA,"POLYGON((-41.7583324 -22.3276225, -41.7562832 -22.3262726999999, -41.756648 -22.3255581, -41.757442 -22.3246748999999, -41.7574097999999 -22.3243275, -41.7576994 -22.3242182999999, -41.758429 -22.3230174, -41.7601562999999 -22.3231564, -41.7605533 -22.3234143999999, -41.7593838999999 -22.3253000999999, -41.7617979 -22.3263818999999, -41.7625596 -22.3254191999999, -41.7648341 -22.3262826, -41.7650594 -22.3260445, -41.7653061999999 -22.3261039999999, -41.7646731999999 -22.3271162999999, -41.7623665 -22.3260344999999, -41.7619695 -22.3264513999999, -41.762463 -22.3266896, -41.7610038999999 -22.3292400999999, -41.7583324 -22.3276225))"
FRONTEIRA,ADA,"POLYGON((-41.7676815999999 -22.3528512999999, -41.7707715 -22.3565424999999, -41.7719731 -22.3590429, -41.7733679 -22.3624267, -41.7727884999999 -22.3628927, -41.7719302 -22.3619004999999, -41.7695699 -22.3583285, -41.7646774999999 -22.3534069999999, -41.7658792 -22.3517797, -41.7676815999999 -22.3528512999999))"
PARQUE ALDEIA I,ADA,"POLYGON((-41.3469752 -21.7281323999999, -41.3475438 -21.7283416999999, -41.3474687 -21.7289895, -41.3472005 -21.7295377, -41.3468892999999 -21.7296772, -41.3464602 -21.7297568999999, -41.3461598 -21.7296871999999, -41.3469752 -21.7281323999999))"
COMUNIDADE DOM JOAO IV,ADA,"POLYGON((-43.4515107 -22.8945082, -43.4508488 -22.8950364999999, -43.4511244 -22.8950171999999, -43.4512263999999 -22.8951752999999, -43.4513550999999 -22.8953236, -43.4512371 -22.8953926999999, -43.4511137 -22.8956052, -43.4509957 -22.8956744, -43.4507221 -22.8956893, -43.4507381999999 -22.8955114, -43.450883 -22.8953829, -43.4507221 -22.8952543999999, -43.4506684999999 -22.8953531999999, -43.4505397 -22.8954075999999, -43.4503948999999 -22.8953384, -43.4501749 -22.8954717999999, -43.4498101999999 -22.8955607999999, -43.4496169999999 -22.8954669, -43.449381 -22.8950864, -43.4488982 -22.8945328999999, -43.4489035999999 -22.8943697999999, -43.4493649 -22.8939349, -43.4497671999999 -22.8937521, -43.4502017999999 -22.8936878, -43.4507166999999 -22.8937521, -43.4510976 -22.8940387, -43.4514569999999 -22.8944291, -43.4515107 -22.8945082))"
