nome_territorio,dominio_orcrim,geometria
JARDIM DA LUZ (COMPLEXO DO SALGUEIRO),CV,"POLYGON((-43.0792711 -22.7868961, -43.0788418999999 -22.7868169999999, -43.0778119999999 -22.7867575999999, -43.0779406999999 -22.7872917, -43.0779191999999 -22.7877862999999, -43.0773399 -22.7876874, -43.0760524 -22.7872323999999, -43.0752585 -22.7880435, -43.0744645999999 -22.7892107, -43.0741212 -22.7893887, -43.073971 -22.7887754999999, -43.0737994 -22.7881424, -43.0733701999999 -22.7877665, -43.0722972999999 -22.7891314999999, -43.0730483 -22.789547, -43.0733488 -22.790002, -43.0731986 -22.7901601999999, -43.0726620999999 -22.7903777999999, -43.072233 -22.7903777999999, -43.0718252999999 -22.7904174, -43.0709239999999 -22.7912679999999, -43.0703232 -22.7919406, -43.0700442999999 -22.7913472, -43.0695937 -22.7910504, -43.0695292999999 -22.7904768, -43.0703875999999 -22.7902591, -43.0707095 -22.7905360999999, -43.0733058 -22.7873114999999, -43.0729625 -22.786718, -43.0728551999999 -22.7859662999999, -43.0729625 -22.7854321, -43.0716750999999 -22.7852541, -43.0707308999999 -22.7852343, -43.0710099 -22.7847990999999, -43.0718467 -22.7845814999999, -43.0719111 -22.7839286, -43.0712459 -22.7837307999999, -43.0711600999999 -22.7833350999999, -43.0720398 -22.7831965999999, -43.0727909 -22.7833548999999, -43.0736062 -22.7826625, -43.0747435 -22.7834933999999, -43.0759022 -22.7842649, -43.0767175999999 -22.7844825, -43.0776188 -22.7848782, -43.0781124 -22.7848584, -43.0784341999999 -22.7847990999999, -43.0790135999999 -22.7855903999999, -43.0795285999999 -22.7862828, -43.0792711 -22.7868961))"
LAZER (MORRO DO JURAMENTO),CV,"POLYGON((-43.322152 -22.8589165, -43.3215029 -22.8616549999999, -43.3216262 -22.8616944999999, -43.3215403999999 -22.8619416999999, -43.3214384999999 -22.8621689999999, -43.3213473 -22.8621443, -43.321358 -22.8620701999999, -43.3213741 -22.8619021, -43.3212454 -22.8618081999999, -43.3210736999999 -22.861823, -43.3210093 -22.8619366999999, -43.3208806 -22.8619366999999, -43.3208162 -22.8617834999999, -43.3206016 -22.8616105, -43.3205748 -22.8614919, -43.3203655999999 -22.8614077999999, -43.3203281 -22.8612199999999, -43.3201564 -22.8612398, -43.3201081 -22.8613286999999, -43.3199311 -22.861304, -43.3198399 -22.8613336999999, -43.3197701999999 -22.8614868999999, -43.3196306999999 -22.8616105, -43.3194966 -22.8615857999999, -43.3194697 -22.861477, -43.3193249 -22.8615166, -43.3192713 -22.8616400999999, -43.3191854 -22.8616944999999, -43.3190996 -22.8618428, -43.319003 -22.8618132, -43.3189816 -22.8616747, -43.3190352 -22.8615758999999, -43.3189333 -22.8615808, -43.3187723999999 -22.8615166, -43.3185953 -22.8615116, -43.3185632 -22.8613978999999, -43.3186168 -22.8613089999999, -43.3186006999999 -22.8611458, -43.3184231 -22.8610626, -43.3184017 -22.8608747, -43.3185362999999 -22.8606366999999, -43.3185518999999 -22.8605436, -43.3185626 -22.8601727999999, -43.3190561 -22.8600097, -43.3192491999999 -22.8597626, -43.3189917999999 -22.8594264, -43.3191932 -22.8589663, -43.3195165 -22.8583482, -43.3203066 -22.8584667, -43.322152 -22.8589165))"
14 CDD,CV,"POLYGON((-43.3632178 -22.9481433, -43.3620162 -22.9464093, -43.3638615 -22.9453374, -43.3650953 -22.9470565, -43.3632178 -22.9481433))"
FAVELA DO POMBAL,CV,"POLYGON((-43.0799438 -22.8237632, -43.0753946999999 -22.821469, -43.0747081 -22.8192933999999, -43.0790855 -22.8183835999999, -43.0817461999999 -22.8205591999999, -43.0799438 -22.8237632))"
MORRO DA GALÃO,CV,"POLYGON((-43.0870591999999 -22.8445717, -43.0830895 -22.8429303999999, -43.0824029 -22.8398088, -43.0839907 -22.8371165, -43.0874239999999 -22.8395290999999, -43.0891406 -22.8417241999999, -43.0892264 -22.8429897999999, -43.0885827 -22.8434841, -43.0870591999999 -22.8445717))"
MORRO DO APAGAO,CV,"POLYGON((-42.4713181 -22.9274773, -42.4719618 -22.9224179999999, -42.4753949999999 -22.9230504, -42.4770687 -22.9245918999999, -42.4776694999999 -22.9262123999999, -42.4713181 -22.9274773))"
GUARAJUBA,CV,"POLYGON((-43.7246057999999 -22.6391545, -43.7207862999999 -22.6385999999999, -43.7169239 -22.639511, -43.7126752999999 -22.6384811999999, -43.7110016 -22.6361838, -43.7098857999999 -22.6326189, -43.7141344 -22.6314305999999, -43.7149497999999 -22.6326981999999, -43.7192413999999 -22.634441, -43.7200568 -22.6357480999999, -43.7243912 -22.6373325, -43.7261078 -22.6393922, -43.7246057999999 -22.6391545))"
MORRO DA CAIXA D'AGUA DE ARARUAMA,CV,"POLYGON((-43.3434839999999 -22.7922781, -43.3417244999999 -22.7946223, -43.3412094999999 -22.7952751, -43.3400186 -22.7944838, -43.3385701999999 -22.7943948, -43.3366604999999 -22.7935936, -43.3379156999999 -22.7907944, -43.3377441 -22.7903889, -43.3365424 -22.7900228999999, -43.3363171 -22.7897063999999, -43.3363171 -22.7889150999999, -43.3373149 -22.7881336999999, -43.3379907999999 -22.7880742999999, -43.3388706 -22.788193, -43.3395573 -22.7893700999999, -43.3399434999999 -22.7895976, -43.3409735 -22.7898251, -43.3424004 -22.7896734, -43.3431085 -22.7899108, -43.3435698 -22.7898448999999, -43.3434839999999 -22.7922781))"
URURAI,CV,"POLYGON((-41.3986302 -21.8183771999999, -41.398244 -21.8181979999999, -41.3960552999999 -21.8166641, -41.3956476 -21.8168234, -41.3945962 -21.8172018999999, -41.3941240999999 -21.8180584999999, -41.3936090999999 -21.8182378, -41.3933731 -21.8163054999999, -41.3922358999999 -21.8139945999999, -41.3884593 -21.8091337999999, -41.3879871999999 -21.8081774999999, -41.3882662 -21.8077193, -41.3907766999999 -21.8086357, -41.3972783999999 -21.8074404, -41.3980508999999 -21.8071217, -41.4001967 -21.8140743, -41.3989521 -21.8141340999999, -41.3981367 -21.8149907, -41.3979221 -21.8157277999999, -41.3989736 -21.8170026999999, -41.3990593999999 -21.8182576999999, -41.3986302 -21.8183771999999))"
PARQUE ALEGRIA,CV,"POLYGON((-43.2316870999999 -22.8851003999999, -43.2312982 -22.8848063999999, -43.2315181 -22.884537, -43.2310702 -22.8841811999999, -43.2312123999999 -22.8839414999999, -43.2312927999999 -22.8838575, -43.2313116 -22.8838723, -43.2314913 -22.8836598, -43.2315852 -22.8836992999999, -43.2318614 -22.8839068999999, -43.2324247 -22.8843022999999, -43.2321994 -22.884668, -43.2322182 -22.8847074999999, -43.2321458 -22.8848730999999, -43.2318587999999 -22.8852264999999, -43.2317004999999 -22.8851003999999, -43.2318989999999 -22.884836, -43.2316870999999 -22.8851003999999))"
FAVELA DA PALESTINA (PENHA),CV,"POLYGON((-43.2829328999999 -22.8533887999999, -43.2827023 -22.8533295, -43.2826325 -22.8533839, -43.2825682 -22.8534531, -43.282418 -22.8534926, -43.2823428999999 -22.8535618, -43.2818225 -22.8535864999999, -43.2818654 -22.8538732, -43.2816884 -22.8539919, -43.2814362999999 -22.8539474, -43.2812378 -22.853898, -43.2809374 -22.8539771, -43.2804009 -22.8537249, -43.2801756 -22.8536111999999, -43.2801004999999 -22.8533937, -43.2798162 -22.8532157999999, -43.2796177 -22.8532355999999, -43.2793602 -22.8530823, -43.2792368999999 -22.8529439, -43.279033 -22.8529043999999, -43.278856 -22.8528302, -43.2788614 -22.8527017, -43.2787165 -22.8526226, -43.2786414 -22.8524545, -43.2785555999999 -22.8523408, -43.2784053999999 -22.8522419, -43.2782604999999 -22.8521183999999, -43.2786307 -22.8515598, -43.2822785 -22.8526472999999, -43.2825895999999 -22.8527263999999, -43.2828203 -22.8527462, -43.2830939 -22.8528104, -43.2829328999999 -22.8533887999999))"
FAZENDINHA,CV,"POLYGON((-44.1029756999999 -22.4902630999999, -44.1032117 -22.4896186999999, -44.1031796 -22.4888356, -44.1025572999999 -22.4882309, -44.1034907 -22.4882408, -44.1041451999999 -22.4880228, -44.1039519999999 -22.4878047, -44.1051965999999 -22.4871108, -44.105261 -22.4867341, -44.1051214999999 -22.4862087, -44.1054111999999 -22.4858419, -44.1053360999999 -22.4852569999999, -44.1051537 -22.4851379999999, -44.105218 -22.4846621999999, -44.1054326 -22.4845630999999, -44.1057329999999 -22.4840574999999, -44.1062587 -22.4842358999999, -44.1066557 -22.4837204, -44.107117 -22.4840177999999, -44.1074174 -22.484345, -44.1079217 -22.4841367999999, -44.1080183 -22.4843053, -44.1077179 -22.4849000999999, -44.1074818 -22.4850686999999, -44.1074818 -22.4852471, -44.1073423 -22.4856535, -44.1070634 -22.485941, -44.1070526999999 -22.4864663999999, -44.1065912999999 -22.4870116, -44.1061836 -22.4873388, -44.1059797999999 -22.4879831, -44.1058080999999 -22.4883300999999, -44.1048962 -22.4889247999999, -44.1044348 -22.4894403, -44.1036837999999 -22.4896484999999, -44.1031474 -22.4903226, -44.1029756999999 -22.4902630999999))"
MORRO DA PAZ,CV,"POLYGON((-44.0730009 -22.4892313, -44.0728561 -22.4893106, -44.0727166 -22.4892313, -44.0721371999999 -22.4892609999999, -44.0718744 -22.4892313, -44.0717777999999 -22.4890033, -44.0722122999999 -22.4881161, -44.0718206999999 -22.4882797, -44.0720191999999 -22.487675, -44.0722231 -22.4871694, -44.0724752 -22.4868769999999, -44.0730599 -22.4865796, -44.0735427 -22.4865449, -44.0738967999999 -22.486639, -44.0746048999999 -22.4865498, -44.0750072 -22.486525, -44.0755329 -22.4875015, -44.075431 -22.4882003, -44.0750877 -22.4881457999999, -44.0750179 -22.4883986, -44.0753022 -22.4885176, -44.0752270999999 -22.4888298, -44.0741006 -22.4889140999999, -44.0733925 -22.4892363, -44.0732316 -22.4892262999999, -44.0730009 -22.4892313))"
SERRA DO PADILHA (COMPLEXO DO LINS),CV,"POLYGON((-43.3069833 -22.9079871, -43.3069725 -22.9081452, -43.3068706 -22.9081699, -43.3066453 -22.9079920999999, -43.3064467999999 -22.9078883, -43.3060498 -22.9078142, -43.3056958 -22.9076757999999, -43.3052236999999 -22.9075670999999, -43.3051594 -22.9074879999999, -43.3049447999999 -22.9075571999999, -43.3048588999999 -22.9073003, -43.3047784999999 -22.9072952999999, -43.3046712 -22.9075966999999, -43.3045638999999 -22.9076658999999, -43.3043653999999 -22.9076016999999, -43.304301 -22.9076807, -43.3039201999999 -22.9077005, -43.3031209 -22.9075918, -43.3030939999999 -22.9071026, -43.3031316 -22.9065886999999, -43.3034105999999 -22.9051408999999, -43.3036949 -22.9051853, -43.3038773 -22.9054374, -43.3040865 -22.9054027999999, -43.3042581 -22.9054374, -43.3044298 -22.9053286, -43.304816 -22.9054917, -43.3049286999999 -22.9057931, -43.3050734999999 -22.9061488999999, -43.305213 -22.9062873, -43.305331 -22.9064256, -43.3055133999999 -22.9064751, -43.3058996 -22.9072755999999, -43.3066828 -22.907572, -43.3069403 -22.9077746, -43.3069833 -22.9079871))"
VILA ELZA,CV,"POLYGON((-43.2049218999999 -22.9304046, -43.2052116 -22.9305429, -43.2052975 -22.9307208, -43.2050935999999 -22.9309876, -43.2053081999999 -22.9310566999999, -43.2054906 -22.9311951, -43.2056193 -22.9310469, -43.2057695 -22.9310765, -43.2058231999999 -22.9314125, -43.2060485 -22.9313728999999, -43.2060485 -22.9315210999999, -43.2058982999999 -22.9315309999999, -43.2059412 -22.9317483999999, -43.2060377 -22.9318372999999, -43.2060269999999 -22.9319953999999, -43.2058231999999 -22.9320053, -43.2055978999999 -22.9322721, -43.2052116 -22.9323017, -43.2050829 -22.9321040999999, -43.2048468 -22.9319657999999, -43.2046645 -22.9316496, -43.2044177 -22.9316496, -43.2042888999999 -22.9315210999999, -43.2041065999999 -22.9315210999999, -43.2039670999999 -22.9309974, -43.2034199 -22.9309777, -43.2031087999999 -22.9311653999999, -43.2031195 -22.9308394, -43.2029371 -22.930869, -43.2030229 -22.930039, -43.2027654 -22.9299204, -43.2029264 -22.9298216, -43.2036022999999 -22.9299698, -43.2039027 -22.9299500999999, -43.2040529 -22.9301179999999, -43.2042888999999 -22.9300883999999, -43.2043639999999 -22.9303552, -43.2046108 -22.9303651, -43.2049218999999 -22.9304046))"
CHATUBA DE MESQUITA,CV,"POLYGON((-43.4455796999999 -22.8056084999999, -43.4452363 -22.8058260999999, -43.4453650999999 -22.8063799999999, -43.4448500999999 -22.8068349, -43.4444424 -22.8072503, -43.4439489 -22.8074678999999, -43.4435841 -22.8079820999999, -43.4431549999999 -22.8081404, -43.4424038999999 -22.8088327, -43.4415670999999 -22.8093666999999, -43.4404084 -22.8102172, -43.4397217 -22.8108897, -43.4389277999999 -22.8114237999999, -43.4375545 -22.8097228, -43.4366747 -22.8086349, -43.4359451999999 -22.8080613, -43.4350654 -22.8076459, -43.433735 -22.8070327, -43.4320398999999 -22.8059249999999, -43.4303017999999 -22.8048767, -43.4346148 -22.7989423999999, -43.4359236999999 -22.7971224999999, -43.4363529 -22.7938981, -43.4359881 -22.7918605999999, -43.4400864999999 -22.7912077999999, -43.4403869 -22.7913067, -43.4404726999999 -22.7918012, -43.440344 -22.7925726999999, -43.440108 -22.7933442, -43.4403010999999 -22.7945114, -43.4406443999999 -22.7953224, -43.4410091999999 -22.7958169999999, -43.4417172999999 -22.7960345999999, -43.4422107999999 -22.7963708999999, -43.4424038999999 -22.796905, -43.4428331 -22.7971423, -43.4426829 -22.7976962, -43.443112 -22.7981116, -43.4435197 -22.7986258999999, -43.4430905999999 -22.798982, -43.4424253999999 -22.799437, -43.4421035 -22.7997535, -43.4422752 -22.8005249, -43.4424253999999 -22.8010985999999, -43.4429618 -22.8016129, -43.4433481 -22.8013556999999, -43.4435841 -22.8011579, -43.4439702999999 -22.8020875999999, -43.4449145 -22.8036701, -43.4452148999999 -22.8042831999999, -43.4459229999999 -22.8056084999999, -43.4455796999999 -22.8056084999999))"
QUAFÁ (VILA KENNEDY),CV,"POLYGON((-43.4886868 -22.854662, -43.4872705999999 -22.8545829, -43.4852213999999 -22.8546224999999, -43.4840948999999 -22.854751, -43.4840842 -22.8545136999999, -43.4840412 -22.8543457, -43.4838480999999 -22.8542863, -43.4836657 -22.8542666, -43.4835477 -22.8538612, -43.4835798999999 -22.8536733999999, -43.4831722 -22.8533866999999, -43.4841163999999 -22.8519332999999, -43.4849854 -22.8506876, -43.4854038 -22.8502822, -43.4862727999999 -22.8496395999999, -43.4875067 -22.8498966, -43.4902853999999 -22.8505294, -43.4912831999999 -22.8507567999999, -43.490224 -22.8548104, -43.4886868 -22.854662))"
JARDIM DO EDEN (VILA KENNEDY),CV,"POLYGON((-43.4875135 -22.8598653, -43.4835117 -22.8596712999999, -43.4821491 -22.8593610999999, -43.4796171 -22.8585244999999, -43.4794024999999 -22.8581290999999, -43.4792737999999 -22.8578979, -43.4791129 -22.8576507999999, -43.4789840999999 -22.8572058999999, -43.4788445999999 -22.85685, -43.4787052 -22.8564347, -43.482589 -22.8557413999999, -43.4829645 -22.8561367999999, -43.4838765 -22.8575407, -43.4860866 -22.8583019, -43.4867088999999 -22.8586677, -43.4871487999999 -22.8590434, -43.4874062 -22.8594586, -43.4878032 -22.8597702, -43.4875135 -22.8598653))"
CAMINHO DAS AMENDOEIRAS,CV,"POLYGON((-43.4739023 -22.8559278, -43.4735482999999 -22.8557597, -43.4733659 -22.8552061, -43.4729153 -22.8553247, -43.4726899999999 -22.8549985, -43.477316 -22.854462, -43.4782903999999 -22.8518544999999, -43.4791165999999 -22.8522796, -43.4794706 -22.8521215, -43.4795564 -22.8518941, -43.4787089 -22.8508065, -43.4784620999999 -22.8502331, -43.4789127 -22.8501441, -43.4775286999999 -22.8500253999999, -43.477359 -22.849796, -43.4756940999999 -22.8489774, -43.4735698 -22.8482852999999, -43.4742778999999 -22.8479194999999, -43.4756189999999 -22.8475933, -43.4765416 -22.8477217999999, -43.4765523999999 -22.8483249, -43.4767348 -22.8483446999999, -43.477003 -22.8480875999999, -43.4775716 -22.8481568, -43.4777432999999 -22.8479788, -43.4778827 -22.8479194999999, -43.4782152999999 -22.8479492, -43.4781831999999 -22.8483644, -43.4786123 -22.848582, -43.4785587 -22.8490861999999, -43.4792452999999 -22.8493136, -43.479138 -22.8500946999999, -43.4809941 -22.8512613, -43.4789127 -22.8530903, -43.4783548 -22.8535946, -43.4787732 -22.8540394999999, -43.4784192 -22.8544348999999, -43.4779042 -22.8540394999999, -43.4771102999999 -22.8547513, -43.4772819 -22.8550083, -43.4774965 -22.8553049, -43.4774965 -22.8556212999999, -43.4771102999999 -22.8556411, -43.4771746 -22.8558980999999, -43.4755653 -22.8561551999999, -43.4754902 -22.8559870999999, -43.4751254 -22.8558487, -43.4741491 -22.8561056999999, -43.4739023 -22.8559278))"
LAGOA (COMPLEXO DO SALGUEIRO),CV,"POLYGON((-43.0546054 -22.8010621, -43.0526849999999 -22.8001027, -43.0501422 -22.7989949999999, -43.0481144999999 -22.7981839, -43.0483182999999 -22.7976993, -43.0491658999999 -22.7978970999999, -43.0494341 -22.7981444, -43.0499169 -22.7983422, -43.0504212 -22.7983323, -43.0509898 -22.7980257, -43.0514082 -22.7976004, -43.0512472999999 -22.7974421, -43.0514082 -22.7972541999999, -43.0516979 -22.7973234999999, -43.0521484999999 -22.7970564, -43.0528603 -22.7963588, -43.0531463 -22.7963245, -43.0534896 -22.7959782999999, -43.0540046 -22.7959981, -43.0548092999999 -22.7963937, -43.0554637 -22.7964727999999, -43.055968 -22.7968586, -43.0558177999999 -22.7973234999999, -43.0560646 -22.7975607999999, -43.0560323999999 -22.7980653, -43.0554852 -22.7987080999999, -43.0551526 -22.7991038, -43.0557641999999 -22.7995488, -43.0555603 -22.8002708999999, -43.0555067 -22.8006862999999, -43.0557856 -22.800894, -43.0561289 -22.8011016999999, -43.0566117 -22.8012797, -43.0570944999999 -22.8016852, -43.0577383 -22.8019818999999, -43.0575881 -22.8022094, -43.0572124999999 -22.8024467, -43.0570731 -22.8023676, -43.0546054 -22.8010621))"
UPP CDD,CV,"POLYGON((-43.3634729999999 -22.9507429999999, -43.3634 -22.9507139999999, -43.363459 -22.950572, -43.363529 -22.9506089999999, -43.3634729999999 -22.9507429999999))"
PARQUE MATARUNA ARARUAMA,CV,"POLYGON((-42.347322 -22.8640897999999, -42.34192 -22.8654639, -42.3397983999999 -22.8644702999999, -42.3380725 -22.8647445999999, -42.3362581 -22.8650211, -42.3375336999999 -22.8630041, -42.3379295 -22.8622523999999, -42.3378961 -22.8611053, -42.3370760999999 -22.859206, -42.3421400999999 -22.8578812, -42.3432584999999 -22.8589094, -42.3436045 -22.8621125, -42.3485022 -22.8618357, -42.347998 -22.8632395, -42.347322 -22.8640897999999))"
JOSAFÁ CDD,CV,"POLYGON((-43.3674516 -22.9441679, -43.3673992999999 -22.9444260999999, -43.3674394999999 -22.9448730999999, -43.3665169 -22.9445026, -43.3657282999999 -22.9441914, -43.3658477 -22.9440494, -43.3659456 -22.9439073999999, -43.3659858 -22.9437073, -43.3675684 -22.9439444, -43.3674516 -22.9441679))"
FERMA ITABORAÍ,CV,"POLYGON((-42.8607183 -22.7257863, -42.8606325 -22.7253310999999, -42.8606432 -22.7247867999999, -42.8608578 -22.724104, -42.8610401999999 -22.7234905, -42.8610401999999 -22.7231143999999, -42.8606647 -22.7221049999999, -42.8602433 -22.7211445999999, -42.8602433 -22.7201747999999, -42.8605651 -22.7192841, -42.8607613 -22.7190669, -42.8614449 -22.7182746999999, -42.8623062 -22.7178198999999, -42.8633546 -22.7174434, -42.8637332 -22.7166223999999, -42.8640412999999 -22.7157213999999, -42.8645347999999 -22.7148505, -42.8648352 -22.7138608, -42.8653717 -22.7130491999999, -42.8660154 -22.7123961, -42.8670346 -22.711853, -42.8655462999999 -22.7144254, -42.8660828 -22.7143561, -42.8669411 -22.7146728, -42.8672308 -22.7150885, -42.8672736999999 -22.7156921, -42.8674238999999 -22.7157812, -42.8676599 -22.7155832999999, -42.8680247 -22.7156921, -42.8684001999999 -22.7160087999999, -42.8688936999999 -22.7158307, -42.8689580999999 -22.7154447, -42.8693551 -22.7153754999999, -42.8696555 -22.7151378999999, -42.8700203 -22.7152864, -42.8700524 -22.715989, -42.868883 -22.7164739999999, -42.8721659999999 -22.7181168, -42.8723912999999 -22.7177505999999, -42.8726702 -22.7177952, -42.8738718 -22.7183889999999, -42.8687864 -22.7266225999999, -42.8677135 -22.7261475999999, -42.8664904 -22.7261475999999, -42.8658038 -22.7264642, -42.8648382 -22.7264246, -42.8643016999999 -22.7263455, -42.8638081999999 -22.7258902999999, -42.8628854999999 -22.7257319, -42.8607827 -22.7261672999999, -42.8607183 -22.7257863))"
COMPLEXO DO CAJU,CV,"POLYGON((-43.2278648 -22.8835837999999, -43.226234 -22.881429, -43.2245174 -22.8803417, -43.2203546 -22.8802626, -43.2161917999999 -22.8770400999999, -43.2154194 -22.8763877, -43.2134023 -22.8752805999999, -43.2131878 -22.8753201, -43.2117286 -22.8753795, -43.2108059999999 -22.8748259, -43.2103124 -22.8739955, -43.2118144999999 -22.8735606, -43.2123938 -22.8733035999999, -43.2132736 -22.8729476999999, -43.2134023 -22.8752213, -43.2154836999999 -22.8763284, -43.2165995 -22.8748259, -43.2166854 -22.8753596999999, -43.2162347 -22.8769412999999, -43.2203546 -22.8801637, -43.2244100999999 -22.8802626, -43.2205476999999 -22.8800649, -43.2210842 -22.8798672, -43.2211485999999 -22.8793532, -43.2209554 -22.8790566, -43.2199684 -22.8782659, -43.2199684 -22.8775937, -43.2207622999999 -22.8770203999999, -43.2214703999999 -22.8776331999999, -43.2219638999999 -22.8768029, -43.2228008 -22.8762889, -43.222951 -22.8776331999999, -43.2226719999999 -22.878681, -43.222951 -22.8789578, -43.2242385 -22.8789183, -43.224732 -22.8801043999999, -43.2260408999999 -22.880144, -43.2303754 -22.8780879, -43.2318129999999 -22.8784239999999, -43.2308045 -22.8804997999999, -43.2290020999999 -22.8830895999999, -43.2293883 -22.8833860999999, -43.2334223 -22.8863909, -43.2328429999999 -22.8866479, -43.2278648 -22.8835837999999))"
FAVELA DO SEM TERRA,CV,"POLYGON((-43.0845707 -22.8924153999999, -43.083884 -22.8927514, -43.0822317999999 -22.8924350999999, -43.0812662 -22.8914468, -43.0815451 -22.890656, -43.0824464 -22.8904979, -43.0851071 -22.8908142, -43.0854934 -22.891427, -43.0845707 -22.8924153999999))"
RETA NOVA,CV,"POLYGON((-42.826087 -22.729164, -42.8216669999999 -22.7281149999999, -42.8212799999999 -22.7300349999999, -42.8181059999999 -22.7254804999999, -42.8202982 -22.7222085, -42.8213246999999 -22.7191865, -42.8236421 -22.7179988999999, -42.8231469999999 -22.721663, -42.827374 -22.722475, -42.826087 -22.729164))"
SABUGO,CV,"POLYGON((-43.7120204999999 -22.6079255999999, -43.7152821 -22.6093518, -43.7182432 -22.6112929999999, -43.7206464999999 -22.6126399999999, -43.7205177 -22.6142245999999, -43.7209898 -22.6148188999999, -43.7227063999999 -22.6139868999999, -43.7238222 -22.6143039, -43.7244229999999 -22.6146208, -43.7251955 -22.615215, -43.7262254999999 -22.6160469, -43.7281566999999 -22.6159676999999, -43.7269979 -22.6177504, -43.7282425 -22.6178295999999, -43.7299161999999 -22.6156903999999, -43.7317614999999 -22.6169184999999, -43.7292725 -22.6184238, -43.7296587 -22.6191765, -43.7303024 -22.6202461, -43.7292725 -22.6214740999999, -43.7285858 -22.6213948999999, -43.7288432999999 -22.6201669, -43.7277275 -22.6202064999999, -43.7268692 -22.6200479999999, -43.7258821 -22.6208007, -43.7258391999999 -22.6220286999999, -43.7241655 -22.6208402999999, -43.7231785 -22.6192161, -43.7224489 -22.6186218999999, -43.7217194 -22.6179485, -43.7206035999999 -22.618305, -43.7193161 -22.6184633999999, -43.7194448 -22.6171957999999, -43.7197022999999 -22.6160469, -43.7180715 -22.6150962, -43.7161404 -22.6123229999999, -43.7138658 -22.6114119, -43.7129646 -22.6100253, -43.7118488 -22.6100648999999, -43.7106472 -22.607569, -43.7120204999999 -22.6079255999999))"
MORRO DO AMOR,CV,"POLYGON((-43.3495718999999 -22.7794638999999, -43.3500011 -22.7821941, -43.3489496999999 -22.7841921999999, -43.3458168 -22.7841131, -43.3458596999999 -22.7845285, -43.3453018 -22.7841921999999, -43.3438954 -22.7837896999999, -43.3440143999999 -22.7822533999999, -43.3440573 -22.7815016, -43.3439597999999 -22.780743, -43.3438095999999 -22.7803671, -43.3441430999999 -22.7792858999999, -43.3436808 -22.7786063999999, -43.3417496 -22.7781418, -43.3422333999999 -22.7769513, -43.3421046999999 -22.7760807999999, -43.3425308 -22.775838, -43.3440143999999 -22.7766544999999, -43.3446767999999 -22.77656, -43.3461602 -22.7772085, -43.3468897 -22.7768128, -43.347112 -22.777183, -43.346439 -22.778736, -43.3468683 -22.7795429999999, -43.3481985999999 -22.7797805, -43.3488849999999 -22.779864, -43.3495718999999 -22.7794638999999))"
FAVELA SANTA MAURA,CV,"POLYGON((-43.4040352 -22.9670237999999, -43.4036113999999 -22.9668953999999, -43.4035095 -22.9665744, -43.4035416999999 -22.9661101, -43.4038366999999 -22.9650184999999, -43.4042927 -22.9652505999999, -43.4049042 -22.9654136, -43.4048129999999 -22.9658335, -43.4047164999999 -22.966357, -43.4047111 -22.9667966, -43.4047164999999 -22.9670682999999, -43.4040352 -22.9670237999999))"
FAVELA DO SUVAQUINHO,CV,"POLYGON((-43.38398 -22.8212369999999, -43.384238 -22.822533, -43.384195 -22.8229479999999, -43.3870309 -22.8224830999999, -43.3857649 -22.8233137, -43.3857369999999 -22.824489, -43.384922 -22.8252409999999, -43.3852009999999 -22.8255569999999, -43.385351 -22.826269, -43.38422 -22.8266363, -43.383705 -22.8267549999999, -43.3836191999999 -22.8275262999999, -43.3829969 -22.8275856, -43.3829969 -22.8269132, -43.38319 -22.8264386, -43.383113 -22.825885, -43.3820097999999 -22.8257464, -43.382909 -22.824312, -43.3830589999999 -22.8234219999999, -43.382651 -22.823165, -43.3817319999999 -22.823324, -43.38377 -22.820614, -43.38398 -22.8212369999999))"
MORRO DO SAMPAIO,CV,"POLYGON((-43.4085123999999 -22.780027, -43.4094565999999 -22.7791761999999, -43.4105724 -22.7784442, -43.4115164999999 -22.7784837999999, -43.4124821 -22.7788201, -43.4127396 -22.7787607999999, -43.4132974999999 -22.7795520999999, -43.4137267 -22.7800467, -43.4139198 -22.7796708, -43.414821 -22.7814514, -43.4164946999999 -22.7820449, -43.4173744999999 -22.7834693, -43.4151643 -22.7860608999999, -43.4085123999999 -22.780027))"
