id_ponto,nome_area_fm,id_trecho,geometry
dc73e706-f437-4362-9648-c50204912993,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,63063,POINT (-43.177555538489315 -22.908547559489485)
51340f32-ae27-46b5-a6c7-26692d745d60,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,51560,POINT (-43.17836443957042 -22.911978883395257)
30d2d89f-3664-489a-87e3-4a75bd546018,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,64697,POINT (-43.17674499314309 -22.90860424174406)
f404f45d-01e5-41e6-8bc7-8f1d2e1dccad,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,72336,POINT (-43.18519016714852 -22.904128250204437)
d2ba569f-a1b5-44ef-90db-2185b7a3416b,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,72075,POINT (-43.183314033068356 -22.9025582718174)
b872f464-76d1-436b-99b5-77750b24a89f,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,102112,POINT (-43.19532123519139 -22.911681497833207)
db75c55d-2196-42d0-a5cd-96cb12bf8755,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,70197,POINT (-43.17824559679819 -22.9036959626869)
5b4a8089-2a62-4476-b7df-2c1fb594a089,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,51678,POINT (-43.182550123423304 -22.906092429360697)
adbcac57-d665-496c-a5a2-d287e01499ef,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,179598,POINT (-43.19423832731211 -22.90794668539046)
ee31ace7-b16b-4932-84e0-0cd9c15bf3fa,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,70355,POINT (-43.17640615290815 -22.910819462805055)
6919f5aa-2e9f-4604-a893-6284c26582f2,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,51617,POINT (-43.17614240117063 -22.912034029459374)
a35b7434-763c-4534-9f30-e172cbfe71ed,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,55409,POINT (-43.188059575413234 -22.9046287773804)
5dba1f72-89e4-42bd-bff9-517c78b7cd04,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,70248,POINT (-43.178792225292725 -22.902073980454595)
61c93b72-27dc-4fa4-a6d6-e038f5b301df,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,84195,POINT (-43.196917422076666 -22.908226621570375)
4a241695-08d9-4021-87a5-403c693b43c8,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,63993,POINT (-43.18085686557472 -22.905412647659116)
1745b2a6-6bea-4525-aef7-a344a0030103,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,55951,POINT (-43.18362253524992 -22.90351173911101)
c668b12a-9c74-473a-87d0-17cc6f239d21,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,70164,POINT (-43.18512709675662 -22.904533784501297)
565cc608-5ca6-4e3c-8072-72b254bf25ff,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,51629,POINT (-43.17511538976884 -22.909029404650372)
f5d91a4d-c3ac-41fb-a8d4-9d9e0589176e,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,51516,POINT (-43.18715186447781 -22.903607522146356)
195ba96b-a205-4eee-af05-4358128f6722,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,55929,POINT (-43.183633349393084 -22.902983963409476)
813a3909-d1e6-4552-9221-4e8585b2829f,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,51551,POINT (-43.1810558454086 -22.905518604658255)
